 initial_phi	Omega_de
   0.670000E-18   0.306910+120
   0.671000E-18   0.306910+120
   0.672000E-18   0.306910+120
   0.673000E-18   0.306910+120
   0.674000E-18   0.306910+120
   0.675000E-18   0.306910+120
   0.676000E-18   0.306910+120
   0.677000E-18   0.306910+120
   0.678000E-18   0.306910+120
   0.679000E-18   0.306910+120
   0.680000E-18   0.306910+120
   0.681000E-18   0.306910+120
   0.682000E-18   0.306910+120
   0.683000E-18   0.306910+120
   0.684000E-18   0.306910+120
   0.685000E-18   0.306910+120
   0.686000E-18   0.306910+120
   0.687000E-18   0.306910+120
   0.688000E-18   0.306910+120
   0.689000E-18   0.306910+120
   0.690000E-18   0.306910+120
   0.691000E-18   0.306910+120
   0.692000E-18   0.306910+120
   0.693000E-18   0.306910+120
   0.694000E-18   0.306910+120
   0.695000E-18   0.306910+120
   0.696000E-18   0.306910+120
   0.697000E-18   0.306910+120
   0.698000E-18   0.306910+120
   0.699000E-18   0.306910+120
   0.700000E-18   0.306910+120
   0.701000E-18   0.306910+120
   0.702000E-18   0.306910+120
   0.703000E-18   0.306910+120
   0.704000E-18   0.306910+120
   0.705000E-18   0.306910+120
   0.706000E-18   0.306910+120
   0.707000E-18   0.306910+120
   0.708000E-18   0.306910+120
   0.709000E-18   0.306910+120
   0.710000E-18   0.306910+120
   0.711000E-18   0.306910+120
   0.712000E-18   0.306910+120
   0.713000E-18   0.306910+120
   0.714000E-18   0.306910+120
   0.715000E-18   0.306910+120
   0.716000E-18   0.306910+120
   0.717000E-18   0.306910+120
   0.718000E-18   0.306910+120
   0.719000E-18   0.306910+120
   0.720000E-18   0.306910+120
   0.721000E-18   0.306910+120
   0.722000E-18   0.306910+120
   0.723000E-18   0.306910+120
   0.724000E-18   0.306910+120
   0.725000E-18   0.306910+120
   0.726000E-18   0.306910+120
   0.727000E-18   0.306910+120
   0.728000E-18   0.306910+120
   0.729000E-18   0.306910+120
   0.730000E-18   0.306910+120
   0.731000E-18   0.306910+120
   0.732000E-18   0.306910+120
   0.733000E-18   0.306910+120
   0.734000E-18   0.306910+120
   0.735000E-18   0.306910+120
   0.736000E-18   0.306910+120
   0.737000E-18   0.306910+120
   0.738000E-18   0.306910+120
   0.739000E-18   0.306910+120
   0.740000E-18   0.306910+120
   0.741000E-18   0.306910+120
   0.742000E-18   0.306910+120
   0.743000E-18   0.306910+120
   0.744000E-18   0.306910+120
   0.745000E-18   0.306910+120
   0.746000E-18   0.306910+120
   0.747000E-18   0.306910+120
   0.748000E-18   0.306910+120
   0.749000E-18   0.306910+120
   0.750000E-18   0.306910+120
   0.751000E-18   0.306910+120
   0.752000E-18   0.306910+120
   0.753000E-18   0.306910+120
   0.754000E-18   0.306910+120
   0.755000E-18   0.306910+120
   0.756000E-18   0.306910+120
   0.757000E-18   0.306910+120
   0.758000E-18   0.306910+120
   0.759000E-18   0.306910+120
   0.760000E-18   0.306910+120
   0.761000E-18   0.306910+120
   0.762000E-18   0.306910+120
   0.763000E-18   0.306910+120
   0.764000E-18   0.306910+120
   0.765000E-18   0.306910+120
   0.766000E-18   0.306910+120
   0.767000E-18   0.306910+120
   0.768000E-18   0.306910+120
   0.769000E-18   0.306910+120
   0.770000E-18   0.306910+120
   0.771000E-18   0.306910+120
   0.772000E-18   0.306910+120
   0.773000E-18   0.306910+120
   0.774000E-18   0.306910+120
   0.775000E-18   0.306910+120
   0.776000E-18   0.306910+120
   0.777000E-18   0.306910+120
   0.778000E-18   0.306910+120
   0.779000E-18   0.306910+120
   0.780000E-18   0.306910+120
