#    L    TT             EE             BB             TE             PP             TP             EP          
   138   0.398971E+04   0.111747E+01   0.000000E+00  -0.441513E+02   0.796251E-07   0.252256E-03  -0.122866E-05
   139   0.402417E+04   0.111793E+01   0.000000E+00  -0.444402E+02   0.791549E-07   0.249896E-03  -0.122637E-05
   140   0.405857E+04   0.111789E+01   0.000000E+00  -0.447093E+02   0.786885E-07   0.247574E-03  -0.122258E-05
   141   0.409287E+04   0.111737E+01   0.000000E+00  -0.449582E+02   0.782259E-07   0.245289E-03  -0.121741E-05
   142   0.412709E+04   0.111634E+01   0.000000E+00  -0.451863E+02   0.777669E-07   0.243039E-03  -0.121094E-05
   143   0.416121E+04   0.111482E+01   0.000000E+00  -0.453934E+02   0.773117E-07   0.240823E-03  -0.120330E-05
   144   0.419521E+04   0.111282E+01   0.000000E+00  -0.455790E+02   0.768601E-07   0.238639E-03  -0.119457E-05
   145   0.422910E+04   0.111033E+01   0.000000E+00  -0.457426E+02   0.764122E-07   0.236485E-03  -0.118486E-05
   146   0.426285E+04   0.110736E+01   0.000000E+00  -0.458841E+02   0.759679E-07   0.234360E-03  -0.117429E-05
   147   0.429645E+04   0.110393E+01   0.000000E+00  -0.460028E+02   0.755272E-07   0.232263E-03  -0.116294E-05
   148   0.432988E+04   0.110003E+01   0.000000E+00  -0.460984E+02   0.750900E-07   0.230191E-03  -0.115092E-05
   149   0.436313E+04   0.109567E+01   0.000000E+00  -0.461706E+02   0.746564E-07   0.228143E-03  -0.113835E-05
   150   0.439619E+04   0.109085E+01   0.000000E+00  -0.462188E+02   0.742263E-07   0.226119E-03  -0.112531E-05
   151   0.442903E+04   0.108560E+01   0.000000E+00  -0.462428E+02   0.737997E-07   0.224116E-03  -0.111190E-05
   152   0.446167E+04   0.107991E+01   0.000000E+00  -0.462423E+02   0.733765E-07   0.222134E-03  -0.109816E-05
   153   0.449408E+04   0.107380E+01   0.000000E+00  -0.462170E+02   0.729568E-07   0.220173E-03  -0.108410E-05
   154   0.452627E+04   0.106728E+01   0.000000E+00  -0.461667E+02   0.725405E-07   0.218232E-03  -0.106975E-05
   155   0.455822E+04   0.106036E+01   0.000000E+00  -0.460912E+02   0.721276E-07   0.216313E-03  -0.105513E-05
   156   0.458996E+04   0.105306E+01   0.000000E+00  -0.459901E+02   0.717181E-07   0.214414E-03  -0.104026E-05
   157   0.462144E+04   0.104538E+01   0.000000E+00  -0.458633E+02   0.713119E-07   0.212535E-03  -0.102516E-05
   158   0.465268E+04   0.103735E+01   0.000000E+00  -0.457104E+02   0.709090E-07   0.210676E-03  -0.100985E-05
   159   0.468367E+04   0.102896E+01   0.000000E+00  -0.455314E+02   0.705095E-07   0.208838E-03  -0.994366E-06
   160   0.471439E+04   0.102025E+01   0.000000E+00  -0.453260E+02   0.701132E-07   0.207020E-03  -0.978713E-06
   161   0.474483E+04   0.101122E+01   0.000000E+00  -0.450939E+02   0.697202E-07   0.205221E-03  -0.962919E-06
   162   0.477497E+04   0.100190E+01   0.000000E+00  -0.448351E+02   0.693304E-07   0.203442E-03  -0.947005E-06
   163   0.480480E+04   0.992314E+00   0.000000E+00  -0.445492E+02   0.689438E-07   0.201683E-03  -0.930992E-06
   164   0.483432E+04   0.982459E+00   0.000000E+00  -0.442362E+02   0.685604E-07   0.199943E-03  -0.914902E-06
   165   0.486350E+04   0.972360E+00   0.000000E+00  -0.438958E+02   0.681802E-07   0.198222E-03  -0.898756E-06
   166   0.489235E+04   0.962040E+00   0.000000E+00  -0.435280E+02   0.678031E-07   0.196520E-03  -0.882576E-06
   167   0.492084E+04   0.951521E+00   0.000000E+00  -0.431325E+02   0.674292E-07   0.194838E-03  -0.866383E-06
   168   0.494898E+04   0.940827E+00   0.000000E+00  -0.427094E+02   0.670583E-07   0.193174E-03  -0.850198E-06
   169   0.497675E+04   0.929980E+00   0.000000E+00  -0.422587E+02   0.666906E-07   0.191529E-03  -0.834044E-06
   170   0.500415E+04   0.918995E+00   0.000000E+00  -0.417802E+02   0.663258E-07   0.189903E-03  -0.817942E-06
   171   0.503117E+04   0.907903E+00   0.000000E+00  -0.412739E+02   0.659642E-07   0.188295E-03  -0.801913E-06
   172   0.505780E+04   0.896726E+00   0.000000E+00  -0.407397E+02   0.656055E-07   0.186705E-03  -0.785978E-06
   173   0.508402E+04   0.885487E+00   0.000000E+00  -0.401776E+02   0.652498E-07   0.185133E-03  -0.770159E-06
   174   0.510983E+04   0.874209E+00   0.000000E+00  -0.395876E+02   0.648971E-07   0.183580E-03  -0.754478E-06
   175   0.513523E+04   0.862929E+00   0.000000E+00  -0.389699E+02   0.645474E-07   0.182044E-03  -0.738956E-06
   176   0.516021E+04   0.851663E+00   0.000000E+00  -0.383243E+02   0.642006E-07   0.180527E-03  -0.723609E-06
   177   0.518474E+04   0.840448E+00   0.000000E+00  -0.376509E+02   0.638566E-07   0.179026E-03  -0.708433E-06
   178   0.520883E+04   0.829308E+00   0.000000E+00  -0.369497E+02   0.635156E-07   0.177543E-03  -0.693419E-06
   179   0.523247E+04   0.818265E+00   0.000000E+00  -0.362208E+02   0.631774E-07   0.176076E-03  -0.678558E-06
   180   0.525565E+04   0.807358E+00   0.000000E+00  -0.354644E+02   0.628420E-07   0.174625E-03  -0.663840E-06
   181   0.527836E+04   0.796616E+00   0.000000E+00  -0.346806E+02   0.625094E-07   0.173191E-03  -0.649258E-06
   182   0.530060E+04   0.786071E+00   0.000000E+00  -0.338694E+02   0.621795E-07   0.171772E-03  -0.634800E-06
   183   0.532236E+04   0.775745E+00   0.000000E+00  -0.330312E+02   0.618524E-07   0.170369E-03  -0.620459E-06
