#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107303E+00   0.231854E+07   0.230351E+07  -0.474571E+01  -0.484064E+01   0.181527E+06   0.230656E+07   0.231618E+07   0.230656E+07  -0.551013E-01   0.121764E+07   0.121748E+07   0.499237E+00
   0.112726E+00   0.220000E+07   0.218690E+07  -0.408087E+01  -0.416249E+01   0.160830E+06   0.218876E+07   0.219794E+07   0.218876E+07  -0.522872E-01   0.115547E+07   0.115533E+07   0.414009E+00
   0.118149E+00   0.210411E+07   0.209317E+07  -0.355356E+01  -0.362463E+01   0.143984E+06   0.209356E+07   0.210239E+07   0.209356E+07  -0.500130E-01   0.110522E+07   0.110510E+07   0.334592E+00
   0.123573E+00   0.201895E+07   0.200994E+07  -0.311757E+01  -0.317991E+01   0.129617E+06   0.200903E+07   0.201754E+07   0.200903E+07  -0.479936E-01   0.106060E+07   0.106050E+07   0.270733E+00
   0.128996E+00   0.193515E+07   0.192751E+07  -0.274257E+01  -0.279741E+01   0.116802E+06   0.192576E+07   0.193395E+07   0.192576E+07  -0.460043E-01   0.101665E+07   0.101656E+07   0.227154E+00
   0.134419E+00   0.184745E+07   0.184050E+07  -0.241149E+01  -0.245971E+01   0.105037E+06   0.183851E+07   0.184636E+07   0.183851E+07  -0.439201E-01   0.970600E+06   0.970518E+06   0.203375E+00
   0.139843E+00   0.175488E+07   0.174798E+07  -0.211652E+01  -0.215883E+01   0.941527E+05   0.174632E+07   0.175380E+07   0.174632E+07  -0.417177E-01   0.921935E+06   0.921853E+06   0.194885E+00
   0.145266E+00   0.165962E+07   0.165234E+07  -0.185495E+01  -0.189204E+01   0.841674E+05   0.165138E+07   0.165847E+07   0.165138E+07  -0.394497E-01   0.871821E+06   0.871736E+06   0.195051E+00
   0.150689E+00   0.156559E+07   0.155778E+07  -0.162612E+01  -0.165863E+01   0.751727E+05   0.155765E+07   0.156436E+07   0.155765E+07  -0.372106E-01   0.822344E+06   0.822256E+06   0.197161E+00
   0.156113E+00   0.147752E+07   0.146929E+07  -0.142983E+01  -0.145841E+01   0.672717E+05   0.146987E+07   0.147622E+07   0.146987E+07  -0.351137E-01   0.776010E+06   0.775919E+06   0.196052E+00
   0.161536E+00   0.139982E+07   0.139146E+07  -0.126520E+01  -0.129049E+01   0.605240E+05   0.139248E+07   0.139851E+07   0.139248E+07  -0.332648E-01   0.735154E+06   0.735063E+06   0.188995E+00
   0.166959E+00   0.133486E+07   0.132673E+07  -0.112940E+01  -0.115198E+01   0.548856E+05   0.132782E+07   0.133358E+07   0.132782E+07  -0.317201E-01   0.701020E+06   0.700932E+06   0.175755E+00
   0.172383E+00   0.128191E+07   0.127434E+07  -0.101750E+01  -0.103783E+01   0.501916E+05   0.127518E+07   0.128072E+07   0.127518E+07  -0.304626E-01   0.673233E+06   0.673151E+06   0.158026E+00
   0.177806E+00   0.123808E+07   0.123126E+07  -0.923750E+00  -0.942211E+00   0.462186E+05   0.123164E+07   0.123701E+07   0.123164E+07  -0.294226E-01   0.650249E+06   0.650175E+06   0.138557E+00
   0.183229E+00   0.119985E+07   0.119384E+07  -0.843103E+00  -0.859952E+00   0.427569E+05   0.119370E+07   0.119891E+07   0.119370E+07  -0.285162E-01   0.630220E+06   0.630154E+06   0.120215E+00
   0.188653E+00   0.116392E+07   0.115861E+07  -0.771577E+00  -0.786996E+00   0.396356E+05   0.115802E+07   0.116309E+07   0.115802E+07  -0.276640E-01   0.611387E+06   0.611328E+06   0.105211E+00
   0.194076E+00   0.112743E+07   0.112259E+07  -0.706243E+00  -0.720356E+00   0.367264E+05   0.112175E+07   0.112667E+07   0.112175E+07  -0.267975E-01   0.592240E+06   0.592185E+06   0.946464E-01
   0.199499E+00   0.108863E+07   0.108403E+07  -0.645389E+00  -0.658286E+00   0.339561E+05   0.108315E+07   0.108791E+07   0.108315E+07  -0.258754E-01   0.571863E+06   0.571810E+06   0.884536E-01
   0.204923E+00   0.104747E+07   0.104291E+07  -0.588562E+00  -0.600324E+00   0.313135E+05   0.104218E+07   0.104676E+07   0.104218E+07  -0.248966E-01   0.550232E+06   0.550179E+06   0.856455E-01
   0.210346E+00   0.100527E+07   0.100059E+07  -0.536092E+00  -0.546805E+00   0.288275E+05   0.100014E+07   0.100454E+07   0.100014E+07  -0.238923E-01   0.528039E+06   0.527986E+06   0.847391E-01
   0.215769E+00   0.963846E+06   0.959012E+06  -0.488474E+00  -0.498234E+00   0.265362E+05   0.958866E+06   0.963087E+06   0.958866E+06  -0.229063E-01   0.506249E+06   0.506194E+06   0.842062E-01
   0.221193E+00   0.924925E+06   0.919984E+06  -0.446035E+00  -0.454947E+00   0.244688E+05   0.920094E+06   0.924149E+06   0.920094E+06  -0.219801E-01   0.485780E+06   0.485725E+06   0.828478E-01
