#    L    TT             EE             BB             TE          
   252   0.540696E+04   0.262110E+01   0.220730E-01   0.678078E+02
   253   0.538756E+04   0.270977E+01   0.222412E-01   0.694005E+02
   254   0.536765E+04   0.280071E+01   0.224093E-01   0.709802E+02
   255   0.534720E+04   0.289391E+01   0.225771E-01   0.725463E+02
   256   0.532624E+04   0.298938E+01   0.227447E-01   0.740978E+02
   257   0.530478E+04   0.308713E+01   0.229121E-01   0.756343E+02
   258   0.528283E+04   0.318713E+01   0.230792E-01   0.771547E+02
   259   0.526039E+04   0.328940E+01   0.232461E-01   0.786594E+02
   260   0.523749E+04   0.339395E+01   0.234126E-01   0.801463E+02
   261   0.521413E+04   0.350075E+01   0.235788E-01   0.816160E+02
   262   0.519034E+04   0.360981E+01   0.237447E-01   0.830672E+02
   263   0.516611E+04   0.372113E+01   0.239103E-01   0.844998E+02
   264   0.514146E+04   0.383470E+01   0.240754E-01   0.859124E+02
   265   0.511639E+04   0.395050E+01   0.242402E-01   0.873057E+02
   266   0.509090E+04   0.406853E+01   0.244046E-01   0.886775E+02
   267   0.506502E+04   0.418876E+01   0.245686E-01   0.900270E+02
   268   0.503874E+04   0.431119E+01   0.247321E-01   0.913551E+02
   269   0.501205E+04   0.443580E+01   0.248952E-01   0.926595E+02
   270   0.498498E+04   0.456258E+01   0.250578E-01   0.939409E+02
   271   0.495753E+04   0.469151E+01   0.252200E-01   0.951972E+02
   272   0.492971E+04   0.482258E+01   0.253817E-01   0.964290E+02
   273   0.490155E+04   0.495575E+01   0.255428E-01   0.976351E+02
   274   0.487303E+04   0.509101E+01   0.257035E-01   0.988159E+02
   275   0.484417E+04   0.522834E+01   0.258636E-01   0.999695E+02
   276   0.481500E+04   0.536771E+01   0.260232E-01   0.101096E+03
   277   0.478551E+04   0.550911E+01   0.261823E-01   0.102195E+03
   278   0.475571E+04   0.565251E+01   0.263407E-01   0.103266E+03
   279   0.472562E+04   0.579786E+01   0.264987E-01   0.104308E+03
   280   0.469525E+04   0.594515E+01   0.266560E-01   0.105320E+03
   281   0.466461E+04   0.609435E+01   0.268128E-01   0.106303E+03
   282   0.463370E+04   0.624542E+01   0.269689E-01   0.107256E+03
   283   0.460254E+04   0.639832E+01   0.271245E-01   0.108178E+03
   284   0.457114E+04   0.655304E+01   0.272794E-01   0.109069E+03
   285   0.453950E+04   0.670953E+01   0.274338E-01   0.109928E+03
   286   0.450764E+04   0.686776E+01   0.275875E-01   0.110755E+03
   287   0.447557E+04   0.702768E+01   0.277405E-01   0.111549E+03
   288   0.444331E+04   0.718926E+01   0.278930E-01   0.112310E+03
   289   0.441085E+04   0.735246E+01   0.280447E-01   0.113039E+03
   290   0.437821E+04   0.751723E+01   0.281959E-01   0.113733E+03
   291   0.434541E+04   0.768356E+01   0.283463E-01   0.114393E+03
   292   0.431245E+04   0.785130E+01   0.284961E-01   0.115018E+03
   293   0.427934E+04   0.802054E+01   0.286453E-01   0.115610E+03
   294   0.424609E+04   0.819120E+01   0.287937E-01   0.116165E+03
   295   0.421271E+04   0.836311E+01   0.289415E-01   0.116685E+03
   296   0.417921E+04   0.853637E+01   0.290886E-01   0.117169E+03
   297   0.414558E+04   0.871082E+01   0.292351E-01   0.117615E+03
   298   0.411187E+04   0.888645E+01   0.293808E-01   0.118025E+03
   299   0.407806E+04   0.906319E+01   0.295258E-01   0.118398E+03
   300   0.404417E+04   0.924097E+01   0.296702E-01   0.118734E+03
   301   0.401022E+04   0.941985E+01   0.298138E-01   0.119033E+03
   302   0.397621E+04   0.959962E+01   0.299568E-01   0.119294E+03
   303   0.394216E+04   0.978035E+01   0.300991E-01   0.119518E+03
   304   0.390807E+04   0.996196E+01   0.302406E-01   0.119704E+03
   305   0.387398E+04   0.101444E+02   0.303815E-01   0.119853E+03
   306   0.383986E+04   0.103276E+02   0.305216E-01   0.119963E+03
   307   0.380576E+04   0.105115E+02   0.306611E-01   0.120036E+03
   308   0.377166E+04   0.106960E+02   0.307998E-01   0.120071E+03
   309   0.373759E+04   0.108811E+02   0.309379E-01   0.120068E+03
   310   0.370355E+04   0.110667E+02   0.310752E-01   0.120027E+03
   311   0.366955E+04   0.112528E+02   0.312119E-01   0.119946E+03
   312   0.363559E+04   0.114392E+02   0.313478E-01   0.119828E+03
   313   0.360170E+04   0.116259E+02   0.314831E-01   0.119671E+03
   314   0.356789E+04   0.118129E+02   0.316177E-01   0.119476E+03
   315   0.353414E+04   0.120000E+02   0.317515E-01   0.119243E+03
   316   0.350049E+04   0.121873E+02   0.318847E-01   0.118971E+03
   317   0.346695E+04   0.123746E+02   0.320172E-01   0.118661E+03
   318   0.343352E+04   0.125619E+02   0.321491E-01   0.118313E+03
   319   0.340021E+04   0.127491E+02   0.322802E-01   0.117927E+03
   320   0.336702E+04   0.129362E+02   0.324107E-01   0.117503E+03
   321   0.333398E+04   0.131230E+02   0.325406E-01   0.117041E+03
   322   0.330108E+04   0.133096E+02   0.326698E-01   0.116541E+03
   323   0.326836E+04   0.134957E+02   0.327983E-01   0.116004E+03
   324   0.323579E+04   0.136814E+02   0.329263E-01   0.115430E+03
   325   0.320340E+04   0.138666E+02   0.330535E-01   0.114818E+03
   326   0.317120E+04   0.140513E+02   0.331802E-01   0.114170E+03
   327   0.313919E+04   0.142352E+02   0.333063E-01   0.113484E+03
   328   0.310739E+04   0.144184E+02   0.334318E-01   0.112762E+03
   329   0.307580E+04   0.146009E+02   0.335566E-01   0.112004E+03
   330   0.304444E+04   0.147824E+02   0.336810E-01   0.111210E+03
   331   0.301331E+04   0.149630E+02   0.338047E-01   0.110381E+03
   332   0.298241E+04   0.151427E+02   0.339279E-01   0.109515E+03
   333   0.295176E+04   0.153211E+02   0.340506E-01   0.108615E+03
   334   0.292136E+04   0.154985E+02   0.341727E-01   0.107680E+03
   335   0.289123E+04   0.156746E+02   0.342944E-01   0.106711E+03
   336   0.286137E+04   0.158494E+02   0.344155E-01   0.105708E+03
   337   0.283179E+04   0.160228E+02   0.345362E-01   0.104671E+03
   338   0.280249E+04   0.161948E+02   0.346565E-01   0.103602E+03
   339   0.277349E+04   0.163652E+02   0.347762E-01   0.102500E+03
   340   0.274480E+04   0.165342E+02   0.348956E-01   0.101367E+03
   341   0.271641E+04   0.167015E+02   0.350146E-01   0.100202E+03
   342   0.268834E+04   0.168670E+02   0.351331E-01   0.990047E+02
   343   0.266059E+04   0.170307E+02   0.352513E-01   0.977773E+02
   344   0.263316E+04   0.171924E+02   0.353692E-01   0.965187E+02
   345   0.260605E+04   0.173522E+02   0.354867E-01   0.952299E+02
   346   0.257928E+04   0.175099E+02   0.356039E-01   0.939107E+02
   347   0.255285E+04   0.176655E+02   0.357209E-01   0.925621E+02
   348   0.252676E+04   0.178188E+02   0.358375E-01   0.911839E+02
   349   0.250102E+04   0.179699E+02   0.359539E-01   0.897785E+02
   350   0.247564E+04   0.181187E+02   0.360701E-01   0.883451E+02
   351   0.245063E+04   0.182651E+02   0.361861E-01   0.868852E+02
   352   0.242600E+04   0.184092E+02   0.363019E-01   0.853996E+02
   353   0.240175E+04   0.185508E+02   0.364175E-01   0.838883E+02
   354   0.237788E+04   0.186899E+02   0.365330E-01   0.823535E+02
   355   0.235441E+04   0.188265E+02   0.366484E-01   0.807945E+02
   356   0.233133E+04   0.189604E+02   0.367636E-01   0.792121E+02
   357   0.230865E+04   0.190916E+02   0.368788E-01   0.776070E+02
   358   0.228637E+04   0.192201E+02   0.369940E-01   0.759799E+02
   359   0.226451E+04   0.193457E+02   0.371091E-01   0.743310E+02
   360   0.224304E+04   0.194684E+02   0.372242E-01   0.726616E+02
   361   0.222199E+04   0.195882E+02   0.373393E-01   0.709708E+02
   362   0.220135E+04   0.197049E+02   0.374544E-01   0.692604E+02
   363   0.218113E+04   0.198185E+02   0.375696E-01   0.675311E+02
   364   0.216133E+04   0.199290E+02   0.376849E-01   0.657834E+02
   365   0.214196E+04   0.200364E+02   0.378003E-01   0.640183E+02
   366   0.212301E+04   0.201405E+02   0.379158E-01   0.622366E+02
   367   0.210450E+04   0.202413E+02   0.380314E-01   0.604389E+02
   368   0.208642E+04   0.203388E+02   0.381472E-01   0.586261E+02
   369   0.206877E+04   0.204331E+02   0.382632E-01   0.567991E+02
   370   0.205156E+04   0.205238E+02   0.383794E-01   0.549584E+02
   371   0.203479E+04   0.206112E+02   0.384958E-01   0.531049E+02
   372   0.201846E+04   0.206950E+02   0.386124E-01   0.512395E+02
   373   0.200257E+04   0.207754E+02   0.387293E-01   0.493628E+02
   374   0.198713E+04   0.208522E+02   0.388465E-01   0.474757E+02
   375   0.197212E+04   0.209255E+02   0.389640E-01   0.455788E+02
   376   0.195755E+04   0.209951E+02   0.390818E-01   0.436730E+02
   377   0.194344E+04   0.210611E+02   0.392000E-01   0.417589E+02
   378   0.192976E+04   0.211233E+02   0.393185E-01   0.398374E+02
   379   0.191654E+04   0.211818E+02   0.394374E-01   0.379092E+02
   380   0.190376E+04   0.212364E+02   0.395567E-01   0.359751E+02
   381   0.189143E+04   0.212873E+02   0.396764E-01   0.340358E+02
   382   0.187955E+04   0.213341E+02   0.397966E-01   0.320921E+02
   383   0.186811E+04   0.213772E+02   0.399172E-01   0.301448E+02
   384   0.185712E+04   0.214163E+02   0.400382E-01   0.281948E+02
   385   0.184657E+04   0.214515E+02   0.401598E-01   0.262428E+02
   386   0.183647E+04   0.214828E+02   0.402818E-01   0.242899E+02
   387   0.182682E+04   0.215103E+02   0.404044E-01   0.223367E+02
   388   0.181760E+04   0.215339E+02   0.405275E-01   0.203842E+02
   389   0.180882E+04   0.215535E+02   0.406512E-01   0.184331E+02
   390   0.180049E+04   0.215693E+02   0.407755E-01   0.164844E+02
   391   0.179259E+04   0.215812E+02   0.409003E-01   0.145388E+02
   392   0.178511E+04   0.215890E+02   0.410257E-01   0.125971E+02
   393   0.177808E+04   0.215930E+02   0.411518E-01   0.106601E+02
   394   0.177147E+04   0.215930E+02   0.412785E-01   0.872855E+01
