 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.160118E-06    0.263271E+00   -0.422848E-22    0.548646E-23   -0.100000E+01    0.624538E+07    0.545078E-03    0.999455E+00
    0.160635E-06    0.263271E+00   -0.427675E-22    0.555766E-23   -0.100000E+01    0.622528E+07    0.546838E-03    0.999453E+00
    0.161154E-06    0.263271E+00   -0.432543E-22    0.562980E-23   -0.100000E+01    0.620524E+07    0.548603E-03    0.999451E+00
    0.161675E-06    0.263271E+00   -0.437455E-22    0.570286E-23   -0.100000E+01    0.618526E+07    0.550374E-03    0.999450E+00
    0.162197E-06    0.263271E+00   -0.442410E-22    0.577688E-23   -0.100000E+01    0.616535E+07    0.552150E-03    0.999448E+00
    0.162721E-06    0.263271E+00   -0.447408E-22    0.585186E-23   -0.100000E+01    0.614551E+07    0.553932E-03    0.999446E+00
    0.163246E-06    0.263271E+00   -0.452451E-22    0.592781E-23   -0.100000E+01    0.612572E+07    0.555720E-03    0.999444E+00
    0.163773E-06    0.263271E+00   -0.457538E-22    0.600474E-23   -0.100000E+01    0.610600E+07    0.557514E-03    0.999442E+00
    0.164302E-06    0.263271E+00   -0.462670E-22    0.608268E-23   -0.100000E+01    0.608635E+07    0.559313E-03    0.999441E+00
    0.164833E-06    0.263271E+00   -0.467847E-22    0.616162E-23   -0.100000E+01    0.606676E+07    0.561119E-03    0.999439E+00
    0.165365E-06    0.263271E+00   -0.473071E-22    0.624159E-23   -0.100000E+01    0.604723E+07    0.562930E-03    0.999437E+00
    0.165899E-06    0.263271E+00   -0.478341E-22    0.632260E-23   -0.100000E+01    0.602776E+07    0.564747E-03    0.999435E+00
    0.166435E-06    0.263271E+00   -0.483658E-22    0.640466E-23   -0.100000E+01    0.600836E+07    0.566569E-03    0.999433E+00
    0.166972E-06    0.263271E+00   -0.489022E-22    0.648778E-23   -0.100000E+01    0.598902E+07    0.568398E-03    0.999432E+00
    0.167512E-06    0.263271E+00   -0.494434E-22    0.657199E-23   -0.100000E+01    0.596974E+07    0.570233E-03    0.999430E+00
    0.168053E-06    0.263271E+00   -0.499894E-22    0.665728E-23   -0.100000E+01    0.595052E+07    0.572073E-03    0.999428E+00
    0.168595E-06    0.263271E+00   -0.505403E-22    0.674369E-23   -0.100000E+01    0.593136E+07    0.573920E-03    0.999426E+00
    0.169140E-06    0.263271E+00   -0.510962E-22    0.683121E-23   -0.100000E+01    0.591227E+07    0.575772E-03    0.999424E+00
    0.169686E-06    0.263271E+00   -0.516571E-22    0.691987E-23   -0.100000E+01    0.589324E+07    0.577630E-03    0.999422E+00
    0.170234E-06    0.263271E+00   -0.522229E-22    0.700968E-23   -0.100000E+01    0.587427E+07    0.579495E-03    0.999421E+00
    0.170784E-06    0.263271E+00   -0.527939E-22    0.710066E-23   -0.100000E+01    0.585536E+07    0.581365E-03    0.999419E+00
    0.171335E-06    0.263271E+00   -0.533700E-22    0.719281E-23   -0.100000E+01    0.583651E+07    0.583241E-03    0.999417E+00
    0.171889E-06    0.263271E+00   -0.539513E-22    0.728617E-23   -0.100000E+01    0.581772E+07    0.585124E-03    0.999415E+00
    0.172444E-06    0.263271E+00   -0.545379E-22    0.738073E-23   -0.100000E+01    0.579899E+07    0.587012E-03    0.999413E+00
    0.173001E-06    0.263271E+00   -0.551298E-22    0.747652E-23   -0.100000E+01    0.578033E+07    0.588907E-03    0.999411E+00
    0.173559E-06    0.263271E+00   -0.557270E-22    0.757356E-23   -0.100000E+01    0.576172E+07    0.590808E-03    0.999409E+00
    0.174120E-06    0.263271E+00   -0.563296E-22    0.767185E-23   -0.100000E+01    0.574317E+07    0.592715E-03    0.999407E+00
    0.174682E-06    0.263271E+00   -0.569377E-22    0.777142E-23   -0.100000E+01    0.572468E+07    0.594628E-03    0.999405E+00
    0.175246E-06    0.263271E+00   -0.575513E-22    0.787229E-23   -0.100000E+01    0.570626E+07    0.596547E-03    0.999403E+00
    0.175812E-06    0.263271E+00   -0.581705E-22    0.797446E-23   -0.100000E+01    0.568789E+07    0.598472E-03    0.999402E+00
    0.176380E-06    0.263271E+00   -0.587953E-22    0.807796E-23   -0.100000E+01    0.566958E+07    0.600404E-03    0.999400E+00
    0.176950E-06    0.263271E+00   -0.594258E-22    0.818280E-23   -0.100000E+01    0.565133E+07    0.602342E-03    0.999398E+00
    0.177521E-06    0.263271E+00   -0.600621E-22    0.828900E-23   -0.100000E+01    0.563313E+07    0.604286E-03    0.999396E+00
    0.178094E-06    0.263271E+00   -0.607041E-22    0.839658E-23   -0.100000E+01    0.561500E+07    0.606236E-03    0.999394E+00
    0.178669E-06    0.263271E+00   -0.613520E-22    0.850555E-23   -0.100000E+01    0.559693E+07    0.608193E-03    0.999392E+00
    0.179247E-06    0.263271E+00   -0.620059E-22    0.861594E-23   -0.100000E+01    0.557891E+07    0.610156E-03    0.999390E+00
    0.179825E-06    0.263271E+00   -0.626657E-22    0.872777E-23   -0.100000E+01    0.556095E+07    0.612125E-03    0.999388E+00
    0.180406E-06    0.263271E+00   -0.633316E-22    0.884104E-23   -0.100000E+01    0.554305E+07    0.614100E-03    0.999386E+00
    0.180989E-06    0.263271E+00   -0.640036E-22    0.895578E-23   -0.100000E+01    0.552521E+07    0.616082E-03    0.999384E+00
    0.181573E-06    0.263271E+00   -0.646818E-22    0.907202E-23   -0.100000E+01    0.550742E+07    0.618071E-03    0.999382E+00
    0.182160E-06    0.263271E+00   -0.653661E-22    0.918976E-23   -0.100000E+01    0.548969E+07    0.620066E-03    0.999380E+00
    0.182748E-06    0.263271E+00   -0.660568E-22    0.930903E-23   -0.100000E+01    0.547202E+07    0.622067E-03    0.999378E+00
    0.183338E-06    0.263271E+00   -0.667538E-22    0.942985E-23   -0.100000E+01    0.545440E+07    0.624075E-03    0.999376E+00
    0.183930E-06    0.263271E+00   -0.674573E-22    0.955223E-23   -0.100000E+01    0.543685E+07    0.626089E-03    0.999374E+00
    0.184524E-06    0.263271E+00   -0.681672E-22    0.967621E-23   -0.100000E+01    0.541934E+07    0.628109E-03    0.999372E+00
    0.185120E-06    0.263271E+00   -0.688837E-22    0.980179E-23   -0.100000E+01    0.540190E+07    0.630137E-03    0.999370E+00
    0.185718E-06    0.263271E+00   -0.696068E-22    0.992900E-23   -0.100000E+01    0.538451E+07    0.632170E-03    0.999368E+00
    0.186318E-06    0.263271E+00   -0.703366E-22    0.100579E-22   -0.100000E+01    0.536718E+07    0.634211E-03    0.999366E+00
    0.186919E-06    0.263271E+00   -0.710732E-22    0.101884E-22   -0.100000E+01    0.534990E+07    0.636257E-03    0.999364E+00
    0.187523E-06    0.263271E+00   -0.718165E-22    0.103206E-22   -0.100000E+01    0.533268E+07    0.638311E-03    0.999362E+00
    0.188129E-06    0.263271E+00   -0.725668E-22    0.104546E-22   -0.100000E+01    0.531551E+07    0.640371E-03    0.999360E+00
    0.188736E-06    0.263271E+00   -0.733240E-22    0.105903E-22   -0.100000E+01    0.529840E+07    0.642438E-03    0.999358E+00
    0.189346E-06    0.263271E+00   -0.740882E-22    0.107277E-22   -0.100000E+01    0.528135E+07    0.644511E-03    0.999355E+00
    0.189957E-06    0.263271E+00   -0.748595E-22    0.108669E-22   -0.100000E+01    0.526434E+07    0.646591E-03    0.999353E+00
    0.190571E-06    0.263271E+00   -0.756380E-22    0.110080E-22   -0.100000E+01    0.524740E+07    0.648678E-03    0.999351E+00
    0.191186E-06    0.263271E+00   -0.764237E-22    0.111508E-22   -0.100000E+01    0.523051E+07    0.650771E-03    0.999349E+00
    0.191804E-06    0.263271E+00   -0.772167E-22    0.112956E-22   -0.100000E+01    0.521367E+07    0.652872E-03    0.999347E+00
    0.192423E-06    0.263271E+00   -0.780172E-22    0.114422E-22   -0.100000E+01    0.519689E+07    0.654979E-03    0.999345E+00
    0.193044E-06    0.263271E+00   -0.788250E-22    0.115907E-22   -0.100000E+01    0.518016E+07    0.657093E-03    0.999343E+00
    0.193668E-06    0.263271E+00   -0.796404E-22    0.117411E-22   -0.100000E+01    0.516348E+07    0.659213E-03    0.999341E+00
    0.194293E-06    0.263271E+00   -0.804635E-22    0.118935E-22   -0.100000E+01    0.514686E+07    0.661341E-03    0.999339E+00
