#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   110   0.303639E+04  -0.301214E+02   0.339703E-03  -0.301214E+02   0.919815E+00  -0.893554E-06   0.339703E-03  -0.893554E-06   0.939191E-07
   111   0.306974E+04  -0.307649E+02   0.335953E-03  -0.307649E+02   0.932243E+00  -0.884927E-06   0.335953E-03  -0.884927E-06   0.933394E-07
   112   0.310324E+04  -0.314028E+02   0.332251E-03  -0.314028E+02   0.944371E+00  -0.880880E-06   0.332251E-03  -0.880880E-06   0.927637E-07
   113   0.313688E+04  -0.320349E+02   0.328597E-03  -0.320349E+02   0.956177E+00  -0.881047E-06   0.328597E-03  -0.881047E-06   0.921920E-07
   114   0.317065E+04  -0.326603E+02   0.324993E-03  -0.326603E+02   0.967646E+00  -0.885062E-06   0.324993E-03  -0.885062E-06   0.916243E-07
   115   0.320455E+04  -0.332786E+02   0.321437E-03  -0.332786E+02   0.978778E+00  -0.892561E-06   0.321437E-03  -0.892561E-06   0.910607E-07
   116   0.323857E+04  -0.338892E+02   0.317930E-03  -0.338892E+02   0.989559E+00  -0.903177E-06   0.317930E-03  -0.903177E-06   0.905010E-07
   117   0.327272E+04  -0.344915E+02   0.314473E-03  -0.344915E+02   0.999965E+00  -0.916545E-06   0.314473E-03  -0.916545E-06   0.899454E-07
   118   0.330696E+04  -0.350849E+02   0.311066E-03  -0.350849E+02   0.101000E+01  -0.932300E-06   0.311066E-03  -0.932300E-06   0.893938E-07
   119   0.334130E+04  -0.356690E+02   0.307708E-03  -0.356690E+02   0.101964E+01  -0.950075E-06   0.307708E-03  -0.950075E-06   0.888462E-07
   120   0.337574E+04  -0.362431E+02   0.304399E-03  -0.362431E+02   0.102889E+01  -0.969506E-06   0.304399E-03  -0.969506E-06   0.883026E-07
   121   0.341026E+04  -0.368065E+02   0.301141E-03  -0.368065E+02   0.103772E+01  -0.990227E-06   0.301141E-03  -0.990227E-06   0.877631E-07
   122   0.344485E+04  -0.373590E+02   0.297934E-03  -0.373590E+02   0.104613E+01  -0.101187E-05   0.297934E-03  -0.101187E-05   0.872275E-07
   123   0.347950E+04  -0.378997E+02   0.294777E-03  -0.378997E+02   0.105412E+01  -0.103408E-05   0.294777E-03  -0.103408E-05   0.866960E-07
   124   0.351421E+04  -0.384282E+02   0.291670E-03  -0.384282E+02   0.106167E+01  -0.105647E-05   0.291670E-03  -0.105647E-05   0.861685E-07
   125   0.354897E+04  -0.389440E+02   0.288614E-03  -0.389440E+02   0.106877E+01  -0.107870E-05   0.288614E-03  -0.107870E-05   0.856450E-07
   126   0.358377E+04  -0.394464E+02   0.285610E-03  -0.394464E+02   0.107542E+01  -0.110038E-05   0.285610E-03  -0.110038E-05   0.851255E-07
   127   0.361860E+04  -0.399350E+02   0.282657E-03  -0.399350E+02   0.108161E+01  -0.112117E-05   0.282657E-03  -0.112117E-05   0.846101E-07
   128   0.365345E+04  -0.404093E+02   0.279755E-03  -0.404093E+02   0.108733E+01  -0.114068E-05   0.279755E-03  -0.114068E-05   0.840986E-07
   129   0.368831E+04  -0.408686E+02   0.276904E-03  -0.408686E+02   0.109258E+01  -0.115856E-05   0.276904E-03  -0.115856E-05   0.835912E-07
   130   0.372318E+04  -0.413125E+02   0.274106E-03  -0.413125E+02   0.109734E+01  -0.117444E-05   0.274106E-03  -0.117444E-05   0.830877E-07
   131   0.375803E+04  -0.417404E+02   0.271359E-03  -0.417404E+02   0.110161E+01  -0.118803E-05   0.271359E-03  -0.118803E-05   0.825883E-07
   132   0.379288E+04  -0.421518E+02   0.268663E-03  -0.421518E+02   0.110540E+01  -0.119935E-05   0.268663E-03  -0.119935E-05   0.820929E-07
   133   0.382770E+04  -0.425463E+02   0.266016E-03  -0.425463E+02   0.110868E+01  -0.120851E-05   0.266016E-03  -0.120851E-05   0.816014E-07
   134   0.386250E+04  -0.429233E+02   0.263417E-03  -0.429233E+02   0.111149E+01  -0.121559E-05   0.263417E-03  -0.121559E-05   0.811139E-07
   135   0.389725E+04  -0.432826E+02   0.260863E-03  -0.432826E+02   0.111378E+01  -0.122071E-05   0.260863E-03  -0.122071E-05   0.806302E-07
   136   0.393196E+04  -0.436234E+02   0.258354E-03  -0.436234E+02   0.111558E+01  -0.122395E-05   0.258354E-03  -0.122395E-05   0.801505E-07
   137   0.396662E+04  -0.439453E+02   0.255888E-03  -0.439453E+02   0.111687E+01  -0.122542E-05   0.255888E-03  -0.122542E-05   0.796746E-07
   138   0.400121E+04  -0.442480E+02   0.253463E-03  -0.442480E+02   0.111767E+01  -0.122521E-05   0.253463E-03  -0.122521E-05   0.792025E-07
