#    L    TT             EE             BB             TE          
   376   0.194471E+04   0.210551E+02   0.388734E-01   0.419483E+02
   377   0.193097E+04   0.211179E+02   0.389912E-01   0.400226E+02
   378   0.191767E+04   0.211768E+02   0.391094E-01   0.380901E+02
   379   0.190482E+04   0.212320E+02   0.392280E-01   0.361515E+02
   380   0.189242E+04   0.212833E+02   0.393470E-01   0.342078E+02
   381   0.188047E+04   0.213308E+02   0.394665E-01   0.322594E+02
   382   0.186897E+04   0.213742E+02   0.395864E-01   0.303074E+02
   383   0.185792E+04   0.214139E+02   0.397067E-01   0.283525E+02
   384   0.184731E+04   0.214495E+02   0.398276E-01   0.263955E+02
   385   0.183715E+04   0.214812E+02   0.399489E-01   0.244374E+02
   386   0.182743E+04   0.215091E+02   0.400708E-01   0.224790E+02
   387   0.181817E+04   0.215329E+02   0.401932E-01   0.205211E+02
   388   0.180934E+04   0.215529E+02   0.403162E-01   0.185646E+02
   389   0.180095E+04   0.215690E+02   0.404397E-01   0.166104E+02
   390   0.179300E+04   0.215811E+02   0.405639E-01   0.146592E+02
   391   0.178549E+04   0.215893E+02   0.406886E-01   0.127119E+02
   392   0.177841E+04   0.215935E+02   0.408139E-01   0.107693E+02
   393   0.177176E+04   0.215937E+02   0.409399E-01   0.883223E+01
   394   0.176554E+04   0.215900E+02   0.410666E-01   0.690137E+01
