#    L    TT             EE             TE             PP             TP          
   279   0.471564E+04   0.585952E+01   0.105623E+03   0.183210E+07   0.131664E+04
   280   0.468490E+04   0.600900E+01   0.106633E+03   0.182476E+07   0.130537E+04
   281   0.465388E+04   0.616041E+01   0.107614E+03   0.181747E+07   0.129417E+04
   282   0.462260E+04   0.631370E+01   0.108563E+03   0.181022E+07   0.128306E+04
   283   0.459107E+04   0.646885E+01   0.109481E+03   0.180302E+07   0.127202E+04
   284   0.455930E+04   0.662582E+01   0.110367E+03   0.179586E+07   0.126106E+04
   285   0.452729E+04   0.678459E+01   0.111221E+03   0.178875E+07   0.125017E+04
   286   0.449506E+04   0.694510E+01   0.112043E+03   0.178168E+07   0.123936E+04
   287   0.446263E+04   0.710732E+01   0.112831E+03   0.177465E+07   0.122862E+04
   288   0.443000E+04   0.727121E+01   0.113586E+03   0.176767E+07   0.121796E+04
   289   0.439718E+04   0.743672E+01   0.114307E+03   0.176073E+07   0.120736E+04
   290   0.436418E+04   0.760383E+01   0.114993E+03   0.175383E+07   0.119684E+04
   291   0.433102E+04   0.777249E+01   0.115645E+03   0.174698E+07   0.118639E+04
   292   0.429770E+04   0.794259E+01   0.116262E+03   0.174016E+07   0.117600E+04
   293   0.426424E+04   0.811418E+01   0.116844E+03   0.173339E+07   0.116568E+04
   294   0.423064E+04   0.828719E+01   0.117389E+03   0.172666E+07   0.115544E+04
   295   0.419691E+04   0.846147E+01   0.117898E+03   0.171996E+07   0.114525E+04
   296   0.416306E+04   0.863709E+01   0.118371E+03   0.171331E+07   0.113514E+04
   297   0.412910E+04   0.881391E+01   0.118806E+03   0.170669E+07   0.112509E+04
   298   0.409504E+04   0.899191E+01   0.119203E+03   0.170011E+07   0.111510E+04
   299   0.406090E+04   0.917102E+01   0.119563E+03   0.169357E+07   0.110517E+04
   300   0.402668E+04   0.935117E+01   0.119886E+03   0.168707E+07   0.109531E+04
   301   0.399240E+04   0.953242E+01   0.120170E+03   0.168061E+07   0.108551E+04
   302   0.395807E+04   0.971456E+01   0.120416E+03   0.167418E+07   0.107577E+04
   303   0.392370E+04   0.989765E+01   0.120624E+03   0.166779E+07   0.106609E+04
   304   0.388930E+04   0.100816E+02   0.120795E+03   0.166143E+07   0.105648E+04
   305   0.385490E+04   0.102664E+02   0.120926E+03   0.165511E+07   0.104692E+04
   306   0.382048E+04   0.104519E+02   0.121020E+03   0.164883E+07   0.103743E+04
   307   0.378607E+04   0.106382E+02   0.121074E+03   0.164258E+07   0.102800E+04
   308   0.375168E+04   0.108250E+02   0.121090E+03   0.163637E+07   0.101863E+04
   309   0.371732E+04   0.110125E+02   0.121068E+03   0.163019E+07   0.100933E+04
   310   0.368299E+04   0.112003E+02   0.121007E+03   0.162405E+07   0.100009E+04
   311   0.364871E+04   0.113887E+02   0.120907E+03   0.161794E+07   0.990913E+03
   312   0.361447E+04   0.115774E+02   0.120768E+03   0.161187E+07   0.981799E+03
   313   0.358031E+04   0.117664E+02   0.120590E+03   0.160583E+07   0.972748E+03
   314   0.354623E+04   0.119556E+02   0.120373E+03   0.159982E+07   0.963762E+03
   315   0.351222E+04   0.121450E+02   0.120117E+03   0.159385E+07   0.954840E+03
   316   0.347831E+04   0.123345E+02   0.119821E+03   0.158791E+07   0.945982E+03
   317   0.344451E+04   0.125240E+02   0.119488E+03   0.158200E+07   0.937188E+03
   318   0.341084E+04   0.127134E+02   0.119116E+03   0.157613E+07   0.928459E+03
   319   0.337728E+04   0.129028E+02   0.118705E+03   0.157028E+07   0.919795E+03
   320   0.334385E+04   0.130920E+02   0.118256E+03   0.156447E+07   0.911196E+03
