#    L    TT             EE             BB             TE             PP             TP             EP          
   219   0.573458E+04   0.857752E+00   0.000000E+00   0.136569E+02   0.513776E-07   0.127582E-03  -0.106341E-06
   220   0.573447E+04   0.881306E+00   0.000000E+00   0.152755E+02   0.511351E-07   0.126543E-03  -0.921094E-07
   221   0.573373E+04   0.906451E+00   0.000000E+00   0.169049E+02   0.508945E-07   0.125513E-03  -0.778857E-07
   222   0.573235E+04   0.933230E+00   0.000000E+00   0.185448E+02   0.506557E-07   0.124490E-03  -0.636713E-07
   223   0.573034E+04   0.961666E+00   0.000000E+00   0.201942E+02   0.504187E-07   0.123475E-03  -0.494676E-07
   224   0.572769E+04   0.991796E+00   0.000000E+00   0.218526E+02   0.501836E-07   0.122468E-03  -0.352759E-07
   225   0.572442E+04   0.102364E+01   0.000000E+00   0.235192E+02   0.499502E-07   0.121468E-03  -0.210976E-07
   226   0.572051E+04   0.105725E+01   0.000000E+00   0.251934E+02   0.497186E-07   0.120476E-03  -0.693393E-08
   227   0.571598E+04   0.109264E+01   0.000000E+00   0.268745E+02   0.494887E-07   0.119491E-03   0.721373E-08
   228   0.571081E+04   0.112985E+01   0.000000E+00   0.285618E+02   0.492606E-07   0.118514E-03   0.213441E-07
   229   0.570503E+04   0.116890E+01   0.000000E+00   0.302546E+02   0.490342E-07   0.117544E-03   0.354557E-07
