#    L    TT             EE             BB             TE          
   333   0.302165E+01   0.213107E-01   0.120842E-01   0.109174E+00
   334   0.305793E+01   0.209788E-01   0.120255E-01   0.108523E+00
   335   0.309375E+01   0.206517E-01   0.119693E-01   0.107766E+00
   336   0.312900E+01   0.203299E-01   0.119156E-01   0.106907E+00
   337   0.316356E+01   0.200140E-01   0.118644E-01   0.105948E+00
   338   0.319731E+01   0.197043E-01   0.118158E-01   0.104890E+00
   339   0.323013E+01   0.194014E-01   0.117696E-01   0.103737E+00
   340   0.326191E+01   0.191057E-01   0.117261E-01   0.102491E+00
   341   0.329252E+01   0.188176E-01   0.116851E-01   0.101154E+00
   342   0.332185E+01   0.185378E-01   0.116466E-01   0.997290E-01
   343   0.334979E+01   0.182665E-01   0.116108E-01   0.982178E-01
   344   0.337621E+01   0.180044E-01   0.115776E-01   0.966231E-01
   345   0.340099E+01   0.177519E-01   0.115470E-01   0.949472E-01
   346   0.342402E+01   0.175094E-01   0.115190E-01   0.931926E-01
   347   0.344518E+01   0.172774E-01   0.114937E-01   0.913618E-01
   348   0.346435E+01   0.170564E-01   0.114710E-01   0.894570E-01
   349   0.348142E+01   0.168469E-01   0.114510E-01   0.874807E-01
   350   0.349626E+01   0.166493E-01   0.114337E-01   0.854353E-01
   351   0.350879E+01   0.164640E-01   0.114191E-01   0.833236E-01
   352   0.351903E+01   0.162909E-01   0.114071E-01   0.811491E-01
   353   0.352704E+01   0.161297E-01   0.113976E-01   0.789159E-01
   354   0.353286E+01   0.159802E-01   0.113905E-01   0.766281E-01
   355   0.353655E+01   0.158421E-01   0.113857E-01   0.742895E-01
   356   0.353816E+01   0.157151E-01   0.113830E-01   0.719042E-01
   357   0.353774E+01   0.155992E-01   0.113825E-01   0.694761E-01
   358   0.353535E+01   0.154939E-01   0.113840E-01   0.670093E-01
   359   0.353105E+01   0.153991E-01   0.113874E-01   0.645077E-01
   360   0.352487E+01   0.153144E-01   0.113925E-01   0.619754E-01
   361   0.351688E+01   0.152398E-01   0.113994E-01   0.594163E-01
   362   0.350712E+01   0.151748E-01   0.114078E-01   0.568344E-01
   363   0.349566E+01   0.151193E-01   0.114177E-01   0.542337E-01
   364   0.348253E+01   0.150731E-01   0.114291E-01   0.516183E-01
   365   0.346781E+01   0.150358E-01   0.114417E-01   0.489919E-01
   366   0.345153E+01   0.150072E-01   0.114555E-01   0.463588E-01
   367   0.343375E+01   0.149872E-01   0.114703E-01   0.437228E-01
   368   0.341452E+01   0.149754E-01   0.114862E-01   0.410880E-01
   369   0.339390E+01   0.149715E-01   0.115029E-01   0.384583E-01
   370   0.337194E+01   0.149755E-01   0.115205E-01   0.358378E-01
   371   0.334869E+01   0.149869E-01   0.115387E-01   0.332304E-01
   372   0.332420E+01   0.150056E-01   0.115575E-01   0.306401E-01
   373   0.329853E+01   0.150314E-01   0.115767E-01   0.280709E-01
   374   0.327173E+01   0.150639E-01   0.115964E-01   0.255268E-01
   375   0.324385E+01   0.151029E-01   0.116163E-01   0.230118E-01
   376   0.321494E+01   0.151482E-01   0.116364E-01   0.205298E-01
   377   0.318506E+01   0.151996E-01   0.116565E-01   0.180850E-01
   378   0.315426E+01   0.152567E-01   0.116767E-01   0.156811E-01
   379   0.312259E+01   0.153194E-01   0.116967E-01   0.133224E-01
   380   0.309010E+01   0.153874E-01   0.117165E-01   0.110126E-01
   381   0.305685E+01   0.154605E-01   0.117359E-01   0.875589E-02
   382   0.302290E+01   0.155384E-01   0.117550E-01   0.655619E-02
